num,playerID,yearID,stint,teamID,IgID,G,AB,R,H,B2,B3,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,prev_salary,salary
62772,leonaje01,1985,1,SFN,NL,133,507,49,122,20,3,17,62,11,6,21,107,5,1,1,1,19,9861340.05624,10948109.5134
62775,lezcasi01,1985,1,PIT,NL,72,116,16,24,2,0,3,9,0,0,35,17,3,1,0,1,3,4656743.91545,6082283.06299
62784,lopesda01,1985,1,CHN,NL,99,275,52,78,11,0,11,44,47,4,46,37,1,0,1,3,14,5368951.8084,5960637.40173
62790,lynched01,1985,1,NYN,NL,31,52,1,4,0,0,0,0,0,0,3,30,0,0,9,0,1,3615824.68729,6447220.04677
62791,lynnfr01,1985,1,BAL,AL,124,448,59,118,12,1,23,68,7,3,53,100,6,1,0,6,7,11943178.5126,14475833.6899
62802,mahleri01,1985,1,ATL,NL,39,90,9,14,1,0,0,8,0,0,3,18,0,0,11,1,2,4464995.63658,8363139.21162
62804,manniri01,1985,1,ML4,AL,79,216,19,47,9,1,2,18,1,0,14,19,0,0,1,0,2,5588092.69854,6021460.23236
62806,marshmi02,1985,1,LAN,NL,135,518,72,152,27,2,28,95,3,10,37,137,6,3,2,4,8,3648695.82081,7906967.98189
62807,martibu01,1985,1,TOR,AL,42,99,11,16,3,0,4,14,0,0,10,12,0,1,0,3,3,3903994.95782,4222272.24407
62808,martica01,1985,1,SDN,NL,150,514,64,130,28,1,21,72,0,4,87,82,4,3,2,4,10,1533986.23097,2919495.87024
62815,matthga01,1985,1,CHN,NL,97,298,45,70,12,0,13,40,2,0,59,64,2,2,0,3,8,6574226.70416,10339881.2071
62819,mazzile01,1985,1,PIT,NL,92,117,20,33,8,0,1,9,4,1,29,17,1,0,1,0,3,6574226.70416,7298739.67559
62825,mcdowod01,1985,1,TEX,AL,111,406,63,97,14,5,18,42,25,7,36,85,2,3,5,2,6,657422.670416,1642216.42701
62826,mcdowro01,1985,1,NYN,NL,62,19,1,3,1,0,0,1,0,0,1,7,0,0,2,0,0,657422.670416,2250444.73331
62828,mcgeewi01,1985,1,SLN,NL,152,612,114,216,26,18,10,82,56,16,34,86,2,0,1,5,3,5204596.14079,6082283.06299
62830,mcmurcr01,1985,1,ATL,NL,17,14,0,1,0,0,0,0,0,0,0,7,0,0,1,0,1,3013187.23941,2737027.37835
62831,mcraeha01,1985,1,KCA,AL,112,320,41,83,19,0,14,70,0,1,44,45,3,1,2,2,12,8765635.60555,7906967.98189
62832,mcreyke01,1985,1,SDN,NL,152,564,61,132,24,4,15,75,4,0,43,81,6,3,2,4,17,1643556.67604,3345255.68465
62833,mcwilla01,1985,1,PIT,NL,32,40,2,5,1,0,0,2,0,0,1,19,0,0,4,0,1,8729115.7762,13137731.4161
62841,milneed01,1985,1,CIN,NL,145,453,82,115,19,7,3,33,35,13,61,31,3,1,2,3,3,3287113.35208,4257598.1441
62842,mintogr01,1985,1,SFN,NL,68,8,1,0,0,0,0,1,0,0,1,6,0,0,0,0,0,9477843.4985,9305893.08638
62846,molitpa01,1985,1,ML4,AL,140,576,93,171,28,3,10,48,21,7,54,80,6,1,7,4,12,10409192.2816,14110896.7061
62849,moorech02,1985,1,ML4,AL,105,349,35,81,13,4,0,31,4,0,27,53,0,1,8,1,12,3999321.24503,4896237.86571
62852,morelke01,1985,1,CHN,NL,161,587,74,180,30,3,14,106,12,3,68,58,7,1,2,9,14,9477843.4985,9245070.25575
62857,morriji01,1985,1,PIT,NL,92,244,17,62,10,0,4,22,3,0,8,44,1,1,1,3,4,2547512.84786,3862249.745
62858,mosebll01,1985,1,TOR,AL,152,584,92,151,30,7,18,70,37,15,76,91,4,4,1,5,12,6437263.64782,8910544.68729
62861,mullira01,1985,1,TOR,AL,129,366,55,108,26,1,10,57,2,0,55,54,2,0,1,5,10,3561039.46475,3113532.86451
62865,murphdw01,1985,1,OAK,AL,152,523,77,122,21,3,20,59,4,5,84,123,3,3,5,4,14,9267829.82643,10949922.0337
62869,murraed02,1985,1,BAL,AL,156,583,111,173,37,1,31,124,5,2,84,68,12,2,0,8,8,16137743.3337,11262125.6234
62875,nettlgr01,1985,1,SDN,NL,137,440,66,115,23,1,15,61,0,0,72,59,5,0,0,3,10,9861340.05624,11097088.9547
62881,niedeto01,1985,1,LAN,NL,64,9,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,4054106.46757,6462425.75443
62893,oberkke01,1985,1,ATL,NL,134,412,30,112,19,4,3,35,1,2,51,38,6,6,1,2,10,6756847.76496,10035767.0539
62896,obriepe03,1985,1,TEX,AL,159,573,69,153,34,3,22,92,5,10,69,53,4,1,3,9,18,1807912.34364,4105541.06752
62898,oestero01,1985,1,CIN,NL,152,526,59,155,26,3,1,34,5,0,51,65,17,0,2,5,13,6026374.47881,7906967.98189
62899,oglivbe01,1985,1,ML4,AL,101,341,40,99,17,2,10,61,0,2,37,51,3,2,4,10,8,6135944.92388,9325271.24022
62907,oroscje01,1985,1,NYN,NL,54,7,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,7122078.92951,10035767.0539
62908,orsuljo01,1985,1,PIT,NL,121,397,54,119,14,6,0,21,24,11,26,27,3,1,9,3,5,657422.670416,1642216.42701
62909,ortajo01,1985,1,KCA,AL,110,300,32,80,21,1,4,45,2,1,22,28,5,2,2,4,8,4930670.02812,5474054.7567
62921,parkeda01,1985,1,CIN,NL,160,635,88,198,42,4,34,125,5,13,52,80,24,3,0,4,26,10628333.1717,13381022.7386
62922,parrila01,1985,1,TEX,AL,94,346,44,86,11,1,17,51,0,2,33,77,2,1,0,2,13,6135944.92388,6819686.89699
62923,parrila02,1985,1,DET,AL,140,549,64,150,27,1,28,98,2,6,41,90,5,2,3,5,10,8400404.441,10339881.2071
62925,pastofr01,1985,1,CIN,NL,17,14,1,2,1,0,0,0,0,0,0,6,0,0,2,0,0,3834965.57743,4926649.28103
62931,penato01,1985,1,PIT,NL,147,546,53,136,27,2,10,59,12,8,29,67,4,0,7,5,19,11778822.845,14901593.5043
62932,pendlte01,1985,1,SLN,NL,149,559,56,134,16,3,5,69,17,12,37,75,4,0,3,3,18,1232667.50703,2311267.56394
62935,perezto01,1985,1,CIN,NL,72,183,25,60,8,0,6,33,0,2,22,22,1,0,0,2,2,2465335.01406,3345255.68465
62941,pettiga01,1985,1,CAL,AL,125,443,67,114,10,8,1,32,56,9,62,125,0,0,9,2,5,1369630.56337,3649369.8378
62942,phelpke01,1985,1,SEA,AL,61,116,18,24,3,0,9,24,2,0,24,33,2,0,0,0,1,1972268.01125,2858673.03961
62943,phillto02,1985,1,OAK,AL,42,161,23,45,12,2,4,17,3,2,13,34,0,0,3,1,1,2410549.79153,3660926.17562
62953,preslji01,1985,1,SEA,AL,155,570,71,157,33,1,28,84,2,2,44,100,9,1,1,9,29,784524.386696,2341678.97925
