num,playerID,yearID,stint,teamID,IgID,W,L,G,GS,CG,SHO,SV,Ipouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,prev_salary,salary
25233,mcclubo01,1985,1,ML4,AL,4,1,38,1,0,0,3,257,91,41,10,30,57,0.274,4.31,2,5,3,0,370,12,43,3,2,10,5259381.36333,5930225.98642
25235,mcdowro01,1985,1,NYN,NL,6,5,62,2,0,0,17,382,108,40,9,37,70,0.23,2.83,8,6,1,2,516,36,43,6,2,11,657422.670416,2250444.73331
25237,mcgresc01,1985,1,BAL,AL,14,14,35,34,8,1,0,612,226,109,34,65,86,0.283,4.81,2,2,1,1,884,0,118,10,8,23,5995070.20266,11082540.1336
25238,mcmurcr01,1985,1,ATL,NL,0,3,17,6,0,0,1,135,56,33,6,27,28,0.306,6.6,1,3,1,0,220,3,36,7,2,2,3013187.23941,2737027.37835
25239,mcwilla01,1985,1,PIT,NL,7,9,30,19,2,0,0,379,139,66,9,62,52,0.283,4.7,11,4,7,0,568,2,70,4,3,11,8729115.7762,13137731.4161
25241,mintogr01,1985,1,SFN,NL,5,4,68,0,0,0,4,290,98,38,6,54,37,0.272,3.54,18,2,0,0,424,36,42,6,4,13,9477843.4985,9305893.08638
25244,montejo01,1985,1,NYA,AL,0,0,3,1,0,0,0,21,12,8,3,2,2,0.387,10.29,0,0,0,0,34,1,8,0,1,1,6985115.87317,8717943.11181
25246,mooredo01,1985,1,CAL,AL,8,8,65,0,0,0,31,309,91,22,9,21,72,0.237,1.92,3,2,0,0,417,57,28,10,2,5,4464995.63658,12164566.126
25247,mooremi01,1985,1,SEA,AL,17,10,35,34,14,2,0,741,230,95,18,70,155,0.247,3.46,2,10,4,3,1016,1,100,2,7,19,2498206.14758,4865826.4504
25249,morrija02,1985,1,DET,AL,16,11,35,35,13,4,0,771,212,95,21,110,191,0.225,3.33,7,15,5,3,1077,0,102,11,7,20,9696984.38864,10643995.3602
25256,nelsoge01,1985,1,CHA,AL,10,10,46,18,1,0,2,437,144,69,23,67,101,0.259,4.26,4,11,7,1,643,11,74,9,2,11,1205274.89576,2919495.87024
25257,niedeto01,1985,1,LAN,NL,7,9,64,0,0,0,19,319,86,32,6,24,102,0.223,2.71,5,0,1,0,415,43,32,1,3,2,4054106.46757,6462425.75443
25262,nippeal01,1985,1,BOS,AL,9,12,25,25,5,0,0,486,157,73,14,82,85,0.256,4.06,3,3,9,1,713,0,83,4,4,18,1807912.34364,3223610.02339
25269,oroscje01,1985,1,NYN,NL,8,6,54,0,0,0,17,237,66,24,6,34,68,0.224,2.73,7,4,0,0,331,39,26,1,1,6,7122078.92951,10035767.0539
25271,pastofr01,1985,1,CIN,NL,2,1,17,6,1,0,0,162,60,23,1,16,29,0.287,3.83,1,2,1,0,232,3,23,3,3,8,3834965.57743,4926649.28103
25274,penaal01,1985,1,LAN,NL,0,1,2,1,0,0,0,13,7,4,1,3,2,0.35,8.31,1,0,0,0,23,0,5,0,0,0,3834965.57743,4257598.1441
25278,petryda01,1985,1,DET,AL,15,13,34,34,8,0,0,716,190,89,24,81,109,0.217,3.36,9,6,3,0,962,0,98,0,2,24,9587413.94357,10643995.3602
25282,powerte01,1985,1,CIN,NL,8,6,64,0,0,0,27,240,65,24,2,45,42,0.227,2.7,8,1,1,0,342,50,27,6,4,8,2794046.34927,6082283.06299
25283,pricejo02,1985,1,CIN,NL,2,2,26,8,0,0,1,194,59,28,10,23,52,0.242,3.9,7,2,0,0,274,5,35,2,5,3,4492388.24784,5230763.43418
25284,quiseda01,1985,1,KCA,AL,8,9,84,0,0,0,37,387,142,34,8,16,54,0.28,2.37,5,0,1,0,532,76,41,4,3,15,10683118.3943,11252223.6665
25286,rawlesh01,1985,1,PHI,NL,13,8,36,31,6,2,0,596,188,73,16,81,106,0.249,3.31,6,7,2,0,849,1,82,6,5,18,7669931.15485,9731652.90079
25287,reardje01,1985,1,MON,NL,2,8,63,0,0,0,41,263,68,31,7,26,67,0.209,3.18,4,2,1,0,356,50,31,3,1,3,9313487.83089,10339881.2071
25289,reuscri01,1985,1,PIT,NL,14,8,31,26,9,1,1,582,153,49,7,52,138,0.215,2.27,10,4,3,0,773,4,58,5,3,17,2191408.90139,8515196.28819
25290,reussje01,1985,1,LAN,NL,14,10,34,33,5,3,0,638,210,69,13,58,84,0.26,2.92,7,5,3,0,883,0,78,8,6,21,10737903.6168,12164566.126
25291,rhoderi01,1985,1,PIT,NL,10,15,35,35,2,0,0,640,254,106,18,69,128,0.296,4.47,3,8,6,3,944,0,119,10,0,14,7067293.70697,7542030.99811
25292,righeda01,1985,1,NYA,AL,12,7,74,0,0,0,29,321,96,33,5,45,92,0.241,2.78,3,7,0,0,452,60,36,6,3,12,7450790.26471,10187824.1305
25294,roberbe01,1985,1,MON,NL,3,3,42,0,0,0,2,204,58,26,5,22,34,0.232,3.44,5,1,2,5,280,15,28,6,0,3,1040919.22816,1679926.582
25295,robindo01,1985,1,PIT,NL,5,11,44,6,0,0,3,286,95,41,6,42,65,0.255,3.87,11,2,2,0,418,22,49,2,0,10,5697663.14361,8150259.30441
25300,romanro01,1985,1,CAL,AL,14,9,31,31,6,1,0,585,210,89,29,62,64,0.28,4.11,1,2,4,3,831,0,101,4,10,22,1605207.02027,5169940.60355
25303,rozemda01,1985,1,TEX,AL,3,7,34,4,0,0,7,264,100,41,10,22,42,0.287,4.19,3,1,2,0,374,16,45,1,1,10,3396683.79715,4257598.1441
25307,ruthvdi01,1985,1,CHN,NL,4,7,20,15,0,0,0,262,103,44,6,37,26,0.299,4.53,3,0,0,0,392,3,49,5,6,11,8400404.441,12772794.4323
25309,saberbr01,1985,1,KCA,AL,20,6,32,32,10,1,0,706,211,75,19,38,158,0.241,2.87,1,1,1,3,931,0,79,9,7,13,1643556.67604,11252223.6665
25312,sandesc01,1985,1,CHN,NL,5,6,19,19,2,0,0,363,100,42,13,27,80,0.228,3.12,4,1,0,0,480,0,49,7,7,5,5478522.25347,9731652.90079
25313,schatda01,1985,1,MON,NL,3,5,24,15,1,0,0,313,101,44,13,31,64,0.259,3.8,0,4,0,0,431,2,52,7,3,12,4108891.6901,5048294.94229
25320,scottmi03,1985,1,HOU,NL,18,8,36,35,4,2,0,665,194,81,20,80,137,0.235,3.29,4,7,3,2,922,1,91,6,6,15,3944536.0225,8109714.80551
